line,value,variable
SD120638,0.241915342,log_sev_BLUE
IL02-8011,0.245635999,log_sev_BLUE
SD120289,0.441221835,log_sev_BLUE
p56,0.463585085,log_sev_BLUE
IA02168-1-1,0.464518917,log_sev_BLUE
SD120296,0.485948334,log_sev_BLUE
BADGER,0.556879798,log_sev_BLUE
MNBT1020-1,0.565898352,log_sev_BLUE
IL00-1030,0.580038874,log_sev_BLUE
P021A1-78-1,0.580522572,log_sev_BLUE
IL07-8721,0.637300399,log_sev_BLUE
OPTIMUM,0.645062746,log_sev_BLUE
WIX10055-8,0.645866829,log_sev_BLUE
p71,0.657760165,log_sev_BLUE
IL09-5239,0.668774842,log_sev_BLUE
p62,0.673862522,log_sev_BLUE
IL08-2010,0.67821993,log_sev_BLUE
p175,0.681784367,log_sev_BLUE
DON,0.7137525,log_sev_BLUE
p133,0.732760377,log_sev_BLUE
p72,0.736205235,log_sev_BLUE
SD120069,0.759436071,log_sev_BLUE
IL11-2353,0.760575772,log_sev_BLUE
WIX8787-2,0.768851522,log_sev_BLUE
P021A1-78-1-5,0.783046162,log_sev_BLUE
SD041451,0.794131593,log_sev_BLUE
WIX10045-12,0.794190539,log_sev_BLUE
IL09-5508,0.794190539,log_sev_BLUE
IL04-7077,0.796951452,log_sev_BLUE
p188,0.807265327,log_sev_BLUE
SD050612,0.820399061,log_sev_BLUE
IL05-9931,0.846856358,log_sev_BLUE
SD60130,0.850577015,log_sev_BLUE
RON,0.908640955,log_sev_BLUE
p70,0.921078259,log_sev_BLUE
p251,0.937330612,log_sev_BLUE
ND070182,0.942754584,log_sev_BLUE
p52,0.990220265,log_sev_BLUE
WIX9645-1,0.999342209,log_sev_BLUE
p213,1.038082346,log_sev_BLUE
OA1342-2,1.038164585,log_sev_BLUE
P973A38-9-3-2-29,1.046852024,log_sev_BLUE
p135,1.063851836,log_sev_BLUE
OTEE,1.066052037,log_sev_BLUE
p169,1.077531373,log_sev_BLUE
p126,1.084920712,log_sev_BLUE
MN04232,1.087908853,log_sev_BLUE
HA08-03X15-1,1.094811868,log_sev_BLUE
p35,1.103509094,log_sev_BLUE
P0216A1-1-45,1.105069662,log_sev_BLUE
SD120640,1.105809701,log_sev_BLUE
WIX8787-3,1.105809701,log_sev_BLUE
OA1341-1,1.116898161,log_sev_BLUE
MN09230,1.127523873,log_sev_BLUE
p8,1.157349055,log_sev_BLUE
BETAGENE,1.180248637,log_sev_BLUE
MN09223,1.187174237,log_sev_BLUE
IL06-8153,1.204856119,log_sev_BLUE
WIX9878-3,1.207675978,log_sev_BLUE
p73,1.207972548,log_sev_BLUE
SD120129,1.221004459,log_sev_BLUE
p134,1.235223137,log_sev_BLUE
P021A1-25,1.264927361,log_sev_BLUE
IL05-3337,1.279213239,log_sev_BLUE
p132,1.291972312,log_sev_BLUE
COLT,1.304427891,log_sev_BLUE
P075A1-7,1.304427891,log_sev_BLUE
p68,1.318087166,log_sev_BLUE
p215,1.348468518,log_sev_BLUE
p179,1.352132971,log_sev_BLUE
p105,1.377590572,log_sev_BLUE
p123,1.394991325,log_sev_BLUE
WIX9449-1,1.397215717,log_sev_BLUE
SD080788,1.424871372,log_sev_BLUE
MN05119,1.426161683,log_sev_BLUE
p150,1.433782999,log_sev_BLUE
SD090780,1.438402996,log_sev_BLUE
SABER,1.450231494,log_sev_BLUE
