"","line","yield","location","set"
"1","ANTIGO",104.2027,"was","2017"
"2","BADGER",117.1273,"was","2017"
"3","BETAGENE",111.7053,"was","2017"
"4","COLT",105.0364,"was","2017"
"5","CS_CAMDEN",122.8759,"was","2017"
"6","DEON",100.0346,"was","2017"
"7","ESKER",118.0409,"was","2017"
"8","GOLIATH",119.7081,"was","2017"
"9","HAYDEN",112.1255,"was","2017"
"10","HORSEPOWER",76.3598,"was","2017"
"11","JURY",80.8613,"was","2017"
"12","MN11139",119.2079,"was","2017"
"13","MN11211",122.0423,"was","2017"
"14","MNBT1020-1",117.8741,"was","2017"
"15","MNBT1021-1",135.2135,"was","2017"
"16","MNBT1021-2",132.1423,"was","2017"
"17","NATTY",118.541,"was","2017"
"18","NEWBURG",81.4849,"was","2017"
"19","REINS",114.7064,"was","2017"
"20","ROCKFORD",73.3587,"was","2017"
"21","RON",122.7091,"was","2017"
"22","SABER",120.3784,"was","2017"
"23","SD120296",113.2059,"was","2017"
"24","SHELBY_427",85.8515,"was","2017"
"25","SOURIS",85.0294,"was","2017"
"26","STREAKER",70.6911,"was","2017"
"27","SUMO",93.6991,"was","2017"
"28","mean",106.452348148148,"was","2017"
"29","lsd0.1",12.30216,"was","2017"
"30","ANTIGO",131.2246,"lam","2017"
"31","BADGER",134.4084,"lam","2017"
"32","BETAGENE",159.2063,"lam","2017"
"33","COLT",121.7038,"lam","2017"
"34","CS_CAMDEN",177.98,"lam","2017"
"35","DEON",187.9254,"lam","2017"
"36","ESKER",156.443,"lam","2017"
"37","GOLIATH",149.8823,"lam","2017"
"38","HAYDEN",162.2506,"lam","2017"
"39","HORSEPOWER",138.5625,"lam","2017"
"40","JURY",147.478,"lam","2017"
"41","MN11139",167.1852,"lam","2017"
"42","MN11211",152.2476,"lam","2017"
"43","MNBT1020-1",170.6178,"lam","2017"
"44","MNBT1021-1",164.2014,"lam","2017"
"45","MNBT1021-2",157.9562,"lam","2017"
"46","NATTY",144.5736,"lam","2017"
"47","NEWBURG",145.7885,"lam","2017"
"48","REINS",131.4834,"lam","2017"
"49","ROCKFORD",149.5102,"lam","2017"
"50","RON",147.8375,"lam","2017"
"51","SABER",160.7419,"lam","2017"
"52","SD120296",153.8149,"lam","2017"
"53","SHELBY_427",126.7084,"lam","2017"
"54","SOURIS",142.4131,"lam","2017"
"55","STREAKER",119.4025,"lam","2017"
"56","SUMO",120.195,"lam","2017"
"57","mean",148.953411111111,"lam","2017"
"58","lsd0.1",16.74315,"lam","2017"
"59","ANTIGO",114.9721,"mos","2017"
"60","BADGER",127.2429,"mos","2017"
"61","BETAGENE",160.8542,"mos","2017"
"62","COLT",68.8232,"mos","2017"
"63","CS_CAMDEN",141.9145,"mos","2017"
"64","DEON",133.9118,"mos","2017"
"65","ESKER",121.641,"mos","2017"
"66","GOLIATH",77.3594,"mos","2017"
